_index,ASNM,BTYP,CFNM,CJNO,CLNM,CNID,COMB,GENR,GNHD,HINC,LOUT,SKNT,USKT,WLBS,_compressed_header
12803,VallejoTanner_12803,2,Tanner,54,Vallejo,12803,0,gen_2_B_BD_03,26,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,70,8e8da903
12806,BoldenJrVictor_12806,0,Victor,84,Bolden Jr,12806,0,gen_7_BTM_MG_006,258,68,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,178,8e8da903
12807,BowerTashawn_12807,2,Tashawn,94,Bower,12807,0,gen_4_BM_B_001,113,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,250,8e8da903
12809,ElliottJake_12809,1,Jake,4,Elliott,12809,0,gen_1_B_B_005,1,69,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,167,8e8da903
12810,HairstonNate_12810,0,Nate,27,Hairston,12810,0,gen_7_BMH_S_008,251,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,185,8e8da903
12814,PankeyAdam_12814,3,Adam,68,Pankey,12814,0,gen_6_H_BD_01,186,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,306,8e8da903
12821,GonzalezZane_12821,1,Zane,17,Gonzalez,12821,0,gen_2_H_B_010,55,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,202,8e8da903
12823,JohnstonCameron_12823,1,Cameron,5,Johnston,12823,0,gen_1_M_S_011,22,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,194,8e8da903
12824,JonesDJ_12824,3,D.J.,93,Jones,12824,0,gen_7_H_G_004,264,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,305,8e8da903
12828,WitherspoonAhkello_12828,0,Ahkello,4,Witherspoon,12828,0,gen_6_BMH_G_010,182,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,35,8e8da903
12829,GriffinShaquill_12829,0,Shaquill,1,Griffin,12829,0,gen_7_M_MB_010,279,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,38,8e8da903
12832,ReevesMaybinJalen_12832,2,Jalen,42,Reeves-Maybin,12832,0,gen_7_M_N_024,284,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,233,8e8da903
12834,EbukamSamson_12834,2,Samson,52,Ebukam,12834,0,gen_7_T_N_009,289,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,240,8e8da903
12835,StewartGrover_12835,3,Grover,90,Stewart,12835,0,gen_6_H_MS_01,190,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,315,8e8da903
12836,KittleGeorge_12836,0,George,85,Kittle,12836,0,gen_1_M_N_02,1,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,90,8e8da903
12838,AgnewJamal_12838,0,Jamal,39,Agnew,12838,0,gen_6_B_G_03,157,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,190,8e8da903
12846,WoodsXavier_12846,0,Xavier,25,Woods,12846,0,gen_7_BMH_MG_020,250,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,200,8e8da903
12847,ArmahAlex_12847,2,Alex,40,Armah Jr,12847,0,gen_7_BMT_MG_002,254,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,95,8e8da903
12851,LedbetterJeremiah_12851,2,Jeremiah,99,Ledbetter,12851,0,gen_7_BMH_MG_001,247,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,299,8e8da903
12852,WilsonBrandon_12852,0,Brandon,49,Wilson,12852,0,gen_7_BMH_MG_020,250,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,200,8e8da903
12857,OdenigboIfeadi_12857,2,Ifeadi,92,Odenigbo,12857,0,gen_7_BMH_GS_005,244,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,98,8e8da903
12859,MooreDavid_12859,0,David,83,Moore,12859,0,gen_7_T_N_009,289,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,219,8e8da903
12861,ColbertAdrian_12861,0,Adrian,25,Colbert,12861,0,gen_7_M_BD_01,272,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,205,8e8da903
12863,ButkerHarrison_12863,0,Harrison,7,Butker,12863,0,gen_2_B_S_001,41,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,199,8e8da903
12872,OConnorPat_12872,2,Pat,95,O'Connor,12872,0,gen_2_M_N_04,67,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,140,8e8da903
12873,SchreckMason_12873,2,Mason,86,Schreck,12873,0,gen_2_H_N_007,62,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,252,8e8da903
12874,ColeDylan_12874,2,Dylan,55,Cole,12874,0,gen_4_B_N_002,106,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,240,8e8da903
12885,WilsonEric_12885,2,Eric,45,Wilson,12885,0,gen_6_M_MB_011,196,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,230,8e8da903
12897,MauletArthur_12897,0,Arthur,10,Maulet,12897,0,gen_7_BMH_MG_020,250,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,30,8e8da903
12902,RoosJordan_12902,3,Jordan,70,Roos,12902,0,gen_2_M_N_04,67,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,302,8e8da903
12903,PatrickTim_12903,0,Tim,17,Patrick,12903,0,gen_6_B_G_04,158,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,212,8e8da903
12908,HennessyThomas_12908,1,Thomas,42,Hennessy,12908,0,gen_2_H_B_010,55,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,246,8e8da903
12922,HillTaysom_12922,2,Taysom,7,Hill,12922,0,gen_2_B_S_007,44,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,221,8e8da903
12930,SanchezRigoberto_12930,1,Rigoberto,8,Sanchez,12930,0,gen_2_B_N_0013,30,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,195,8e8da903
12931,RushCooper_12931,1,Cooper,10,Rush,12931,0,gen_2_H_BD_03,56,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,65,8e8da903
12932,JohnsonMarcus_12932,0,Marcus,84,Johnson,12932,0,gen_7_BMT_MG_002,254,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,204,8e8da903
12933,BreidaMatt_12933,0,Matt,31,Breida,12933,0,gen_6_M_N_01,198,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,190,8e8da903
12935,HaackMatt_12935,1,Matt,38,Haack,12935,0,gen_2_M_S_011,25,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,205,8e8da903
12936,KooYounghoe_12936,1,Younghoe,6,Koo,12936,0,gen_4_H_N_003,103,69,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,185,8e8da903
12938,ColeyTrevon_12938,3,Trevon,79,Coley,12938,0,gen_7_H_BD_03,261,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,300,8e8da903
12939,BarrettAlex_12939,2,Alex,58,Barrett,12939,0,gen_5_H_BD_01,141,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,250,8e8da903
12948,EkelerAustin_12948,2,Austin,30,Ekeler,12948,0,gen_6_H_N_01,193,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,200,8e8da903
12950,ButlerAdam_12950,3,Adam,69,Butler,12950,0,gen_7_M_MG_025,280,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,300,8e8da903
12951,HollisterJacob_12951,2,Jacob,88,Hollister,12951,0,gen_2_BMH_S_002,48,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,245,8e8da903
12959,RicardPatrick_12959,2,Patrick,42,Ricard,12959,0,gen_2_H_G_01,57,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,305,8e8da903
12960,AnkouEli_12960,3,Eli,51,Ankou,12960,0,gen_4_H_N_004,117,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,165,8e8da903
12961,ColeKeelan_12961,0,Keelan,84,Cole Sr,12961,0,gen_6_B_N_01,171,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,194,8e8da903
12964,DanielsDarrell_12964,2,Darrell,86,Daniels,12964,0,gen_7_BMH_GS_005,244,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,256,8e8da903
12965,MooreIIKenny_12965,0,Kenny,23,Moore II,12965,0,gen_7_T_G_004,286,69,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,190,8e8da903
12966,MunsonCalvin_12966,2,Calvin,50,Munson,12966,0,gen_2_BMH_S_010,51,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,240,8e8da903
12967,HamCJ_12967,2,C.J.,30,Ham,12967,0,gen_7_BHM_S_010,218,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,250,8e8da903
12968,MabinGreg_12968,0,Greg,29,Mabin,12968,0,gen_6_M_N_02,199,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,200,8e8da903
12973,PatrickLucas_12973,3,Lucas,62,Patrick,12973,0,gen_2_H_MB_012,60,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,313,8e8da903
12975,MorrowNicholas_12975,2,Nicholas,32,Morrow,12975,0,gen_7_BHM_N_004,241,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,216,8e8da903
12979,WoodZach_12979,1,Zach,49,Wood,12979,0,gen_2_BMH_S_010,51,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,255,8e8da903
12981,HiltonMike_12981,0,Mike,21,Hilton,12981,0,gen_7_B_N_09,234,69,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,184,8e8da903
12983,DavisJesse_12983,2,Jesse,66,Davis,12983,0,gen_1_B_B_005,1,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,318,8e8da903
12995,SkuraMatt_12995,3,Matt,64,Skura,12995,0,gen_2_H_MB_012,60,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,313,8e8da903
12997,PascalZach_12997,0,Zach,0,Pascal,12997,0,gen_7_B_N_003,219,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,215,8e8da903
12998,BourneKendrick_12998,0,Kendrick,84,Bourne,12998,0,gen_7_B_N_0010,214,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,30,8e8da903
13003,PepperTaybor_13003,1,Taybor,46,Pepper,13003,0,gen_2_H_N_007,62,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,245,8e8da903
13004,HardeeJustin_13004,0,Justin,28,Hardee Sr,13004,0,gen_7_B_G_008,212,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,200,8e8da903
13007,DavisMichael_13007,0,Michael,24,Davis,13007,0,gen_7_BMT_M_009,253,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,196,8e8da903
13013,NortonStorm_13013,3,Storm,77,Norton,13013,0,gen_2_M_N_04,67,79,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,317,8e8da903
13023,KempMarcus_13023,0,Marcus,19,Kemp,13023,0,gen_5_B_BD_03,128,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,210,8e8da903
13025,BordersBreon_13025,0,Breon,35,Borders,13025,0,gen_7_BHM_S_010,242,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,189,8e8da903
13028,WilkinsonElijah_13028,3,Elijah,71,Wilkinson,13028,0,gen_7_H_G_006,265,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,314,8e8da903
13029,MickensJaydon_13029,0,Jaydon,17,Mickens,13029,0,gen_7_BHM_S_010,242,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,174,8e8da903
13034,JonesJoseph_13034,2,Joseph,52,Jones,13034,0,gen_7_BHM_S_010,242,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,240,8e8da903
13037,TupouJosh_13037,3,Josh,69,Tupou,13037,0,gen_5_H_BD_01,141,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,180,8e8da903
13038,MundtJohnny_13038,2,Johnny,86,Mundt,13038,0,gen_2_B_B_004,23,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,73,8e8da903
13039,FergusonReid_13039,1,Reid,69,Ferguson,13039,0,gen_2_B_BD_03,26,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,235,8e8da903
13059,CowardRashaad_13059,3,Rashaad,74,Coward,13059,0,gen_7_BHM_MG_022,239,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,326,8e8da903
13079,ChubbBradley_13079,2,Bradley,2,Chubb,13079,0,gen_6_BHM_G_002,178,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,275,8e8da903
13080,JamesDerwin_13080,0,Derwin,3,James Jr,13080,0,gen_7_M_N_001,281,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,215,8e8da903
13081,NelsonQuenton_13081,3,Quenton,56,Nelson,13081,0,gen_2_H_N_009,63,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,170,8e8da903
13082,SmithRoquan_13082,2,Roquan,0,Smith,13082,0,gen_7_B_N_08,233,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,232,8e8da903
13083,BrownOrlando_13083,3,Orlando,75,Brown Jr,13083,0,gen_7_T_G_004,286,80,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,345,8e8da903
13084,FitzpatrickMinkah_13084,0,Minkah,39,Fitzpatrick,13084,0,gen_5_B_S_002,135,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,207,8e8da903
13085,BarkleySaquon_13085,2,Saquon,26,Barkley,13085,0,gen_6_M_N_01,198,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,227,8e8da903
13086,HurstMaurice_13086,2,Maurice,90,Hurst,13086,0,gen_7_H_BD_03,261,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,130,8e8da903
13087,SuttonCourtland_13087,0,Courtland,14,Sutton,13087,0,gen_6_BMH_G_010,182,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,216,8e8da903
13088,RudolphMason_13088,1,Mason,11,Rudolph,13088,0,gen_2_BMH_S_002,48,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,75,8e8da903
13090,OkoronkwoOgbonnia_13090,2,Ogbo,54,Okoronkwo,13090,0,gen_7_BMH_S_008,249,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,250,8e8da903
13091,VeaVita_13091,3,Vita,50,Vea,13091,0,gen_4_H_N_001,115,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,347,8e8da903
13092,JacksonLamar_13092,0,Lamar,8,Jackson,13092,0,gen_7_BHM_MG_001,237,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,210,8e8da903
13093,WashingtonJames_13093,0,James,12,Washington,13093,0,gen_7_B_N_007,220,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,213,8e8da903
13094,RosenJosh_13094,1,Josh,15,Rosen,13094,0,gen_2_B_S_005,42,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,215,8e8da903
13096,BryanTaven_13096,2,Taven,96,Bryan,13096,0,gen_2_H_N_009,63,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,291,8e8da903
13097,DarnoldSam_13097,0,Sam,14,Darnold,13097,0,gen_2_M_N_22,69,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,225,8e8da903
13098,MillerKolton_13098,2,Kolton,74,Miller,13098,0,gen_2_H_BD_03,56,80,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,325,8e8da903
13099,OkoraforChukwuma_13099,3,Chukwuma,77,Okorafor,13099,0,gen_7_BMH_GS_005,244,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,160,8e8da903
13101,WardDenzel_13101,0,Denzel,21,Ward,13101,0,gen_7_BHM_MG_001,237,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,30,8e8da903
13102,DavenportMarcus_13102,0,Marcus,92,Davenport,13102,0,gen_7_T_G_004,286,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,265,8e8da903
13103,JonesIIRonald_13103,0,Ronald,32,Jones II,13103,0,gen_7_B_N_07,232,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,208,8e8da903
13104,PayneDaRon_13104,3,Da'Ron,94,Payne,13104,0,gen_6_H_MS_01,190,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,320,8e8da903
13105,OliverIsaiah_13105,0,Isaiah,23,Oliver,13105,0,gen_5_B_S_002,135,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,210,8e8da903
13106,AtemanMarcell_13106,0,Marcell,15,Ateman,13106,0,gen_5_BTM_N_004,140,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,216,8e8da903
13109,AlexanderJaire_13109,0,Jaire,23,Alexander,13109,0,gen_5_BHTM_GS_001,139,70,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,196,8e8da903
13110,RagnowFrank_13110,3,Frank,77,Ragnow,13110,0,gen_2_H_BD_03,56,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,311,8e8da903
13111,MillerAnthony_13111,0,Anthony,6,Miller,13111,0,gen_7_BHM_MG_001,237,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,199,8e8da903
13112,AndrewsMark_13112,2,Mark,89,Andrews,13112,0,gen_2_M_S_011,71,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,247,8e8da903
13113,RidleyCalvin_13113,0,Calvin,0,Ridley,13113,0,gen_7_M_N_024,212,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,30,8e8da903
13114,HernandezWill_13114,3,Will,76,Hernandez,13114,0,gen_4_H_BD_01,114,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,332,8e8da903
13115,PhillipsHarrison_13115,3,Harrison,97,Phillips,13115,0,gen_2_H_B_004,53,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,147,8e8da903
13116,McGlincheyMike_13116,2,Mike,69,McGlinchey,13116,0,gen_2_H_N_007,62,80,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,315,8e8da903
13117,MayfieldBaker_13117,0,Baker,6,Mayfield,13117,0,gen_2_H_B_010,55,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,55,8e8da903
13118,WynnIsaiah_13118,3,Isaiah,77,Wynn,13118,0,gen_7_H_BMS_013,262,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,310,8e8da903
